ARQUIVO DE REFERENCIA
AMOSTRA: IGA-010-E-LN6N (-196)
Usuário: Paulo Henrique Diniz
Tipo: Normalizada
EixoY(0-1)	Comprimento de onda(nm)


0.052052 1584.865507
0.046661 1586.91308
0.041401 1588.961334
0.035841 1591.538942
0.030548 1593.635287
0.025447 1596.408323
0.020644 1599.211852
0.015138 1602.96739
0.010104 1606.995639
0.005759 1610.62202
0.004788 1614.400937
0.004754 1618.454959
0.004899 1622.509907
0.007246 1626.576203
0.008608 1630.589157
0.01087 1634.703281
0.012163 1638.493394
0.014032 1642.827979
0.014402 1647.125409
0.014458 1650.668294
0.01407 1655.232094
0.013164 1659.040303
0.01295 1662.948604
0.012903 1667.147356
0.011957 1671.148415
0.011989 1675.25104
0.011339 1679.30189
0.011151 1683.355119
0.010809 1687.407556
0.010467 1691.459992
0.010433 1695.514015
0.010394 1699.68063
0.00998 1703.620077
0.009945 1707.6741
0.009834 1711.727726
0.0098 1715.781748
0.009766 1719.835771
0.009972 1724.035826
0.009327 1728.144616
0.009531 1731.997158
0.010223 1735.910133
0.01021 1740.109055
0.009483 1744.159509
0.010331 1748.555927
0.009823 1752.028339
0.009919 1756.324352
0.009654 1760.377185
0.00962 1764.431208
0.009431 1768.484437
0.009076 1772.354914
0.009901 1776.595258
0.009867 1780.64928
0.009848 1784.703382
0.009999 1788.758356
0.009519 1792.742512
0.009038 1796.861802
